barometerValue,gzValue,mzValue,gpsTimeInMillis,systemTimeInMillis,myValue,zValue,tc,mxValue,latitudeValue,gxValue,lightValue,longitudeValue,xValue,altitudeValue,gyValue,yValue,globalFrame,temperatureValue
1004.841,-0.0014648438,-55.52826,1682811864000,1682811861752,26.145935,9.511475,00:58:55:00,23.553467,34.030098,0.00015258789,33.0,-118.75661,0.2536316,24.0,0.02104187,0.114852905,1091,0.0
1004.841,-0.00024414062,-51.9516,1682811864000,1682811861803,26.176453,9.628723,00:58:55:01,25.622559,34.030098,0.001373291,33.0,-118.75661,0.27038574,24.0,0.0002746582,0.090927124,1092,0.0
1004.8376,-0.0014648438,-51.956177,1682811864000,1682811861869,26.803589,9.571289,00:58:55:02,24.258423,34.030098,-0.0010681152,33.0,-118.75661,0.26560974,24.0,0.0039520264,0.100494385,1093,0.0
1004.8376,-0.00024414062,-53.37982,1682811864000,1682811861895,25.462341,9.559326,00:58:55:03,22.84851,34.030098,0.00015258789,35.0,-118.75661,0.2679901,24.0,-0.0046081543,0.100494385,1094,0.0
1004.8376,-0.00024414062,-53.382874,1682811864000,1682811861921,26.150513,9.573685,00:58:55:04,24.241638,34.030098,-0.0035095215,35.0,-118.75661,0.25842285,24.0,-0.00093078613,0.107681274,1095,0.0
1004.8376,-0.0014648438,-52.67639,1682811864000,1682811861980,27.449036,9.542572,00:58:55:05,23.583984,34.030098,0.002609253,35.0,-118.75661,0.26081848,24.0,0.0002746582,0.093322754,1096,0.0
1004.8397,0.0009765625,-54.100037,1682811864000,1682811862048,26.828003,9.564117,00:58:55:06,24.946594,34.030098,0.001373291,35.0,-118.75661,0.25842285,24.0,-0.0046081543,0.102890015,1097,0.0
1004.8397,-0.0026855469,-54.804993,1682811864000,1682811862082,24.841309,9.573685,00:58:55:07,24.21112,34.030098,0.00015258789,33.0,-118.75661,0.27038574,24.0,-0.002166748,0.093322754,1098,0.0
1004.8397,-0.0014648438,-53.37982,1682811864000,1682811862134,25.4776,9.571289,00:58:55:08,23.538208,34.030098,0.00015258789,33.0,-118.75661,0.25842285,24.0,-0.0033874512,0.105285645,1099,0.0
1004.8397,-0.00024414062,-53.37982,1682811864000,1682811862168,25.462341,9.547363,00:58:55:09,22.84851,34.030098,0.001373291,33.0,-118.75661,0.25842285,24.0,-0.002166748,0.088531494,1100,0.0
1004.8402,-0.0014648438,-54.812622,1682811865000,1682811862221,26.142883,9.542572,00:58:55:10,23.553467,34.030098,0.002609253,33.0,-118.75661,0.26560974,24.0,-0.002166748,0.098098755,1101,0.0
1004.8402,-0.0026855469,-54.092407,1682811865000,1682811862254,25.543213,9.561722,00:58:55:11,26.29242,34.030098,0.001373291,33.0,-118.75661,0.2679901,24.0,-0.00093078613,0.098098755,1102,0.0
1004.8402,0.0009765625,-51.235962,1682811865000,1682811862297,25.483704,9.552155,00:58:55:12,24.227905,34.030098,0.001373291,33.0,-118.75661,0.27757263,24.0,-0.002166748,0.095718384,1103,0.0
1004.8402,-0.00024414062,-51.235962,1682811865000,1682811862343,25.453186,9.554535,00:58:55:13,22.850037,34.030098,0.00015258789,33.0,-118.75661,0.2679901,24.0,-0.002166748,0.088531494,1104,0.0
